top,bottom,type,count
172.10.1.102,10.0.0.10,TCP-OTHER-IN,2
172.10.1.212,10.0.0.10,TCP-OTHER-IN,8
172.10.1.215,10.0.0.10,TCP-OTHER-IN,3
172.10.1.245,10.0.0.10,TCP-OTHER-IN,3
172.20.1.17,10.0.0.10,TCP-OTHER-IN,1
172.20.1.217,10.0.0.10,TCP-OTHER-IN,5
172.20.1.229,10.0.0.10,TCP-OTHER-IN,7
172.20.1.247,10.0.0.10,TCP-OTHER-IN,4
172.20.1.248,10.0.0.10,TCP-OTHER-IN,5
172.20.1.250,10.0.0.10,TCP-OTHER-IN,7
172.20.1.46,10.0.0.10,TCP-OTHER-IN,3
172.20.1.50,10.0.0.10,TCP-OTHER-IN,1
172.20.2.122,10.0.0.10,TCP-OTHER-IN,9
172.20.2.49,10.0.0.10,TCP-OTHER-IN,3
172.30.1.113,10.0.0.10,TCP-OTHER-IN,4
172.30.1.122,10.0.0.10,TCP-OTHER-IN,1
172.30.1.136,10.0.0.10,TCP-OTHER-IN,3
172.30.1.239,10.0.0.10,TCP-OTHER-IN,7
172.30.1.25,10.0.0.10,TCP-OTHER-IN,3
172.30.1.35,10.0.0.10,TCP-OTHER-IN,1
172.30.1.45,10.0.0.10,TCP-OTHER-IN,4
172.30.2.141,10.0.0.10,TCP-OTHER-IN,2
172.30.2.61,10.0.0.10,TCP-OTHER-IN,2
172.30.2.69,10.0.0.10,TCP-OTHER-IN,4
172.10.1.124,10.0.0.11,TCP-OTHER-IN,5
172.10.1.139,10.0.0.11,TCP-OTHER-IN,5
172.10.1.15,10.0.0.11,TCP-OTHER-IN,4
172.10.1.175,10.0.0.11,TCP-OTHER-IN,3
172.10.1.198,10.0.0.11,TCP-OTHER-IN,2
172.10.1.41,10.0.0.11,TCP-OTHER-IN,2
172.10.1.71,10.0.0.11,TCP-OTHER-IN,2
172.10.1.85,10.0.0.11,TCP-OTHER-IN,2
172.10.2.133,10.0.0.11,TCP-OTHER-IN,4
172.10.2.53,10.0.0.11,TCP-OTHER-IN,2
172.10.2.64,10.0.0.11,TCP-OTHER-IN,2
172.10.2.87,10.0.0.11,TCP-OTHER-IN,8
172.20.1.240,10.0.0.11,TCP-OTHER-IN,7
172.20.1.241,10.0.0.11,TCP-OTHER-IN,4
172.20.1.33,10.0.0.11,TCP-OTHER-IN,3
172.20.1.54,10.0.0.11,TCP-OTHER-IN,3
172.20.1.60,10.0.0.11,TCP-OTHER-IN,4
172.20.1.64,10.0.0.11,TCP-OTHER-IN,4
172.20.1.87,10.0.0.11,TCP-OTHER-IN,4
172.20.1.96,10.0.0.11,TCP-OTHER-IN,2
172.20.2.105,10.0.0.11,TCP-OTHER-IN,1
172.20.2.67,10.0.0.11,TCP-OTHER-IN,3
172.30.1.139,10.0.0.11,TCP-OTHER-IN,2
172.30.1.149,10.0.0.11,TCP-OTHER-IN,3
172.30.1.189,10.0.0.11,TCP-OTHER-IN,2
172.30.1.31,10.0.0.11,TCP-OTHER-IN,3
172.30.1.35,10.0.0.11,TCP-OTHER-IN,3
172.30.1.6,10.0.0.11,TCP-OTHER-IN,1
